Title;Features.Handheld?;Features.Max Players;Features.Multiplatform?;Features.Online?;Metadata.Genres;Metadata.Licensed?;Metadata.Publishers;Metadata.Sequel?;Metrics.Review Score;Metrics,Sales;Metrics,Used Price;Release.Console;Release.Rating;Release.Re-release?;Release.Year;Length.All PlayStyles.Average;Length.All PlayStyles.Leisure;Length.All PlayStyles.Median;Length.All PlayStyles.Polled;Length.All PlayStyles.Rushed;Length.Completionists.Average;Length.Completionists.Leisure;Length.Completionists.Median;Length.Completionists.Polled;Length.Completionists.Rushed;Length.Main + Extras.Average;Length.Main + Extras.Leisure;Length.Main + Extras.Median;Length.Main + Extras.Polled;Length.Main + Extras.Rushed;Length.Main Story.Average;Length.Main Story.Leisure;Length.Main Story.Median;Length.Main Story.Polled;Length.Main Story.Rushed
Madden NFL 06;True;2;True;True;Sports;True;EA;True;74;0,62;4,95;X360;E;True;2005;3.75;5.366.666.666.666.660;3.75;2;21.166.666.666.666.600;3.75;5.366.666.666.666.660;3.75;2;21.166.666.666.666.600;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
NBA LIVE 06 ;True;1;True;True;Sports;True;EA;True;64;0,29;4,95;X360;E;True;2005;4.0;4.0;4.0;1;4.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;4.0;4.0;4.0;1;4.0
NBA 2K6 ;True;1;True;True;Sports;True;2K;True;81;0,22;4,95;X360;E;True;2005;0.6166666666666667;0.7;0.5333333333333333;3;0.5333333333333333;0.6166666666666667;0.7;0.5333333333333333;3;0.5333333333333333;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
MVP Baseball;True;1;True;True;Sports;True;EA;True;67;0,21;4,95;Sony PSP;M;True;2005;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
Madden NFL 07;True;2;True;True;Sports;True;EA;True;80;1,77;4,95;X360;E;True;2006;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
NCAA Football 07;True;2;True;True;Sports;True;EA;True;79;0,7;4,95;X360;E;True;2006;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
NBA 2K7 ;True;1;True;True;Sports;True;2K;True;84;0,56;4,95;X360;E;True;2006;8.183.333.333.333.330;8.766.666.666.666.660;8.183.333.333.333.330;2;7.583.333.333.333.330;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;8.183.333.333.333.330;8.766.666.666.666.660;8.183.333.333.333.330;2;7.583.333.333.333.330
NBA LIVE 07 ;True;1;True;True;Sports;True;EA;True;59;0,42;4,95;X360;T;True;2006;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
Major League Baseball 2K6;True;2;True;True;Sports;True;2K;True;66;0,37;4,95;X360;T;True;2006;7.65;9.9;8.0;3;5.4;7.65;9.9;8.0;3;5.4;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
Final Fantasy XI Online;True;1;True;True;Action,Role-Playing (RPG);True;SquareEnix;True;66;0,18;4,95;X360;E;True;2006;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
Major League Baseball 2K6;True;1;True;True;Sports;True;2K;True;69;0,12;4,95;Sony PSP;M;True;2006;7.65;9.9;8.0;3;5.4;7.65;9.9;8.0;3;5.4;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
NHL 2K6 ;True;1;True;True;Sports;True;2K;True;75;0,1;5,95;X360;T;True;2005;2.5;3.0;2.5;2;20.166.666.666.666.600;2.5;3.0;2.5;2;20.166.666.666.666.600;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
NHL 07 ;True;1;True;True;Sports;True;EA;True;79;0,26;5,95;X360;T;True;2006;9.0;9.5;9.0;2;8.5;8.0;8.0;8.0;1;8.0;0.0;0.0;0.0;0;0.0;10.0;10.0;10.0;1;10.0
Prince of Persia: Revelations;True;1;True;True;Action;True;Ubisoft;True;65;0,17;6,95;Sony PSP;E;True;2005;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
Madden NFL 07;True;2;True;True;Sports;True;EA;True;76;0,49;6,95;PlayStation 3;T;True;2006;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
NBA 07;True;4;True;True;Sports;True;Sony;True;63;0,23;6,95;PlayStation 3;T;True;2006;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
College Hoops 2K7;True;4;True;True;Sports;True;2K;True;82;0,19;6,95;X360;T;True;2006;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
Brothers in Arms: D-Day;True;1;True;True;Action;True;Ubisoft;True;65;0,19;6,95;Sony PSP;T;True;2006;8.0;8.0;8.0;2;8.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;8.0;8.0;8.0;2;8.0
College Hoops 2K6;True;1;True;True;Sports;True;2K;True;70;0,11;6,95;X360;E;True;2006;1.55;17.833.333.333.333.300;15.666.666.666.666.600;3;13.333.333.333.333.300;1.55;17.833.333.333.333.300;15.666.666.666.666.600;3;13.333.333.333.333.300;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0
